,Nº do projecto,Nome,Tema,Link,Resolução,Instrumento,Palavras Chave,Género/Categoria,Categorias,Concelho,Distrito/Ilha,Região,Data,Ano,Realizador,Som,Produção,Apoio,Assistência,Pesquisa,Historia (textos que acompanham vídeos),Outras Informações,Contactos,Biografias
v,741,Ricardo Rocha,Hope,https://vimeo.com/91907501,1280 x 720,"Voz, guitarra acústica",,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Carlos,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,742,Grupo de Bombos Os Maravilhas,Sem título #23,https://vimeo.com/71418166,1280 x 720,Bombo,"percussão, tradicional",Não categorizado,Música instrumental,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,743,António Teles,Quando eu era rapazote,https://vimeo.com/71273302,1280 x 720,Voz,Fado,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,743,António Teles,Daquela janela virada para o mar,https://vimeo.com/91929052,1280 x 720,"Voz, guitarra acústica, guitarra portuguesa",Fado,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,744,Maria Emília Morgado e Maria Ilda,Minde Antigo,https://vimeo.com/71492829,1280 x 720,Voz,"Marcha, cantiga, popular",Não categorizado,Música secular/festiva/comunidade,Alcanena,Santarém,Ribatejo,10 de Julho de 2013,2013,Tiago Pereira,Telma Morna,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,745,Ana Maria Capaz,Marcha das mantas,https://vimeo.com/71494270,1280 x 720,"Voz, orgão, bateria","marcha, popular",Não categorizado,Música secular/festiva/comunidade,Alcanena,Santarém,Ribatejo,14 de Julho de 2013,2013,Tiago Pereira,Telma Morna,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,746,Even Time,Are you there,https://vimeo.com/71538314,1280 x 720,"Voz, orgão, bateria, baixo, guitarra elécrica, viola acústica",Rock,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Os Even Time são uma banda de Viseu que iniciou com a junção de três dos elementos atuais, Mónica Shalom (voz), Marta F. (guitarra) e Jacc (percussão) em meados de Junho de 2010. Foram trabalhados alguns temas originais e, mais tarde, juntaram-se os restantes elementos, Alex (baixo) e Samuel Nejati (bateria), concluindo assim a formação da banda em Maio de 2011.
Atualmente, os Even Time, sendo uma banda relativamente recente, trabalham temas originais em português e inglês.
A banda fez a sua primeira apresentação num evento onde participaram também outros músicos de Viseu e de outras cidades. Mais tarde, participaram no concurso Palco Novos Valores, em Viseu, organizado pela JCP em Julho de 2011.
Após algumas atuações em bares, interpretando também alguns covers, em Setembro de 2012 tocam no palco 2 da Feira de São Mateus, dando assim o primeiro grande concerto."
v,746,Even Time,Poção,https://vimeo.com/91914804,1280 x 720,"Voz, orgão, bateria, baixo, guitarra elécrica, viola acústica",Rock,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Os Even Time são uma banda de Viseu que iniciou com a junção de três dos elementos atuais, Mónica Shalom (voz), Marta F. (guitarra) e Jacc (percussão) em meados de Junho de 2010. Foram trabalhados alguns temas originais e, mais tarde, juntaram-se os restantes elementos, Alex (baixo) e Samuel Nejati (bateria), concluindo assim a formação da banda em Maio de 2011.
Atualmente, os Even Time, sendo uma banda relativamente recente, trabalham temas originais em português e inglês.
A banda fez a sua primeira apresentação num evento onde participaram também outros músicos de Viseu e de outras cidades. Mais tarde, participaram no concurso Palco Novos Valores, em Viseu, organizado pela JCP em Julho de 2011.
Após algumas atuações em bares, interpretando também alguns covers, em Setembro de 2012 tocam no palco 2 da Feira de São Mateus, dando assim o primeiro grande concerto."
v,747,Smoking Beer,"Se não vai, empurra-se",https://vimeo.com/71514866,1280 x 720,"Voz, bateria, viola elétrica, baixo","Punk, rock",Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Smoking Beer é uma banda Mortágua (Viseu), é um projecto que nasceu em 2005. Acreditamos que é a força das convicções que marcam pontos, e é esta a premissa que nos tem garantido a coesão da banda ao longo dos tempos, como tal a formação actual da banda é: Marcelo Lourenço na bateria e voz, Rúben Almeida no baixo, Marco Almeida e Duarte Costa nas guitarras e Bruno Sobral na voz. Já tocámos várias vezes ao vivo e partilhámos o palco com algumas bandas. Algures entre o Rock 'n' Roll e o Punk, a nossa música parte de influências musicais como: Nirvana, Xutos & Pontapés, Censurados, entre muitos outros."
v,747,Smoking Beer,Linha da frente,https://vimeo.com/91907036,1280 x 720,"Voz, bateria, viola elétrica, baixo","Punk, rock",Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Smoking Beer é uma banda Mortágua (Viseu), é um projecto que nasceu em 2005. Acreditamos que é a força das convicções que marcam pontos, e é esta a premissa que nos tem garantido a coesão da banda ao longo dos tempos, como tal a formação actual da banda é: Marcelo Lourenço na bateria e voz, Rúben Almeida no baixo, Marco Almeida e Duarte Costa nas guitarras e Bruno Sobral na voz. Já tocámos várias vezes ao vivo e partilhámos o palco com algumas bandas. Algures entre o Rock 'n' Roll e o Punk, a nossa música parte de influências musicais como: Nirvana, Xutos & Pontapés, Censurados, entre muitos outros."
v,748,Carlos Clara Gomes,Poema da Malta das Naus de António Gedeão,https://vimeo.com/958879482,1920 x 1080,"Guitarra acústica, voz, acordeão",Cantautor,Poeta,Poeta,Viseu,Viseu,Beira Alta,12 de junho de 2024,2024,Tiago Pereira,Tiago Pereira,Nuno Correia / Cadeira Amarela,,,,Uma encomenda do Teatro Viriato,,,"Carlos Clara Gomes, nascido em 1958, em Viseu, é Cantautor, Compositor, Dramaturgo e Encenador. É Director Artístico da Companhia DeMente. Ao longo de mais de quatro décadas, repartiu a sua carreira pela autoria de música de cena para quase cem espectáculos de teatro, ópera popular, dança e vídeo, para além dos muitos espectáculos musicais que dirigiu, bem como pela dramaturgia e encenação. Obras já publicadas: Ópera do Bandoleiro, ACERT/GESTO, 1994; Auto da Fonte dos Amores, Pedro e Inês, Tradisom 2011; Crónicas do Inverno, Edições Esgotadas, 2013"
v,748,Carlos Clara Gomes,Quando Alguém olha por nós,https://vimeo.com/71595822,1280 x 720,"Guitarra acústica, voz",Cantautor,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Carlos Clara Gomes, nascido em 1958, em Viseu, é Cantautor, Compositor, Dramaturgo e Encenador. É Director Artístico da Companhia DeMente. Ao longo de mais de quatro décadas, repartiu a sua carreira pela autoria de música de cena para quase cem espectáculos de teatro, ópera popular, dança e vídeo, para além dos muitos espectáculos musicais que dirigiu, bem como pela dramaturgia e encenação. Obras já publicadas: Ópera do Bandoleiro, ACERT/GESTO, 1994; Auto da Fonte dos Amores, Pedro e Inês, Tradisom 2011; Crónicas do Inverno, Edições Esgotadas, 2013"
v,748,Carlos Clara Gomes,A Procissão dos Insurrectos,https://vimeo.com/77588157,1280 x 720,"Guitarra acústica, voz",Cantautor,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,23 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Carlos Clara Gomes, nascido em 1958, em Viseu, é Cantautor, Compositor, Dramaturgo e Encenador. É Director Artístico da Companhia DeMente. Ao longo de mais de quatro décadas, repartiu a sua carreira pela autoria de música de cena para quase cem espectáculos de teatro, ópera popular, dança e vídeo, para além dos muitos espectáculos musicais que dirigiu, bem como pela dramaturgia e encenação. Obras já publicadas: Ópera do Bandoleiro, ACERT/GESTO, 1994; Auto da Fonte dos Amores, Pedro e Inês, Tradisom 2011; Crónicas do Inverno, Edições Esgotadas, 2013"
v,749,Adélia Pereira Alexandre,Serafim,https://vimeo.com/71598324,1280 x 720,Voz,"Cantadeira, cantiga, canto",Não categorizado,Música narrativa,Vouzela,Viseu,Beira Alta,20 de Julho de 2013,2013,Tiago Pereira,Rosa Pomar,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,750,Ernesto Monteiro,Valsa,https://vimeo.com/71697209,1280 x 720,Violino,"Valsa, dança, tocador",Dança,Dança,Viseu,Viseu,Beira Alta,26 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,750,Ernesto Monteiro,Sem título #24,https://vimeo.com/91914607,1280 x 720,Violino,Tocador,Não categorizado,Música instrumental,Viseu,Viseu,Beira Alta,26 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,751,Tiger Picnic,Golden Meadows,https://vimeo.com/71802717,1280 x 720,"Voz, viola elétrica, bateria","Blues, garage, punk",Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,26 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Dueto guitarra e bateria que vai beber inspiração às escolas do blues, do garage e do punk sob uma estética lo-fi para criar um género próprio: ʺCatano Bluesʺ. Uma abordagem ao ʺdo-it-yourselfʺ que não faz reféns e que pretende levar o som cru do seu sótão de ensaios a todos os que estejam entediados com os mega-trabalhos de estúdio que inundam as ondam hertzianas. Um bom queijo e um bom tinto podem facilitar o processo."
v,751,Tiger Picnic,Black Cousteau/A cop buys a car & swears it's a camel,https://vimeo.com/91907390,1280 x 720,"Voz, viola elétrica, bateria","Blues, garage, punk",Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,26 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"Dueto guitarra e bateria que vai beber inspiração às escolas do blues, do garage e do punk sob uma estética lo-fi para criar um género próprio: ʺCatano Bluesʺ. Uma abordagem ao ʺdo-it-yourselfʺ que não faz reféns e que pretende levar o som cru do seu sótão de ensaios a todos os que estejam entediados com os mega-trabalhos de estúdio que inundam as ondam hertzianas. Um bom queijo e um bom tinto podem facilitar o processo."
v,751,Tiger Picnic,Swamp Blues #1,https://vimeo.com/91907337,1280 x 720,"Voz, viola elétrica, bateria","Blues, garage, punk",Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,26 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,752,Musicando,Vindima,https://vimeo.com/71806725,1280 x 720,"Voz, contrabaixo, adufe, guitarra acústica, cavaquinho, caixa, acordeão, bombo",Folk,Não categorizado,Música de trabalho,Viseu,Viseu,Beira Alta,27 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,752,Musicando,Canção da Ceifa,https://vimeo.com/71805503,1280 x 720,Voz,"Folk, ceifa",Não categorizado,Música de trabalho,Viseu,Viseu,Beira Alta,27 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,752,Musicando,As sete mulheres do Minho,https://vimeo.com/91907704,1280 x 720,"Voz, bombo, cavaquinho, viola acústica,paus, violoncelo",Folk,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,27 de Julho de 2013,2013,Tiago Pereira,Silvio Rosado,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,753,Coro Azul,O galo é o dono dos ovos,https://vimeo.com/960173484,1920 x 1080,Voz,"coro, tradicional",Não categorizado,Música infantil,Viseu,Viseu,Beira Alta,11 de junho de 2024,2024,Tiago Pereira,Tiago Pereira,Nuno Correia / Cadeira Amarela,,,,Uma encomenda do Teatro Viriato,,,"O nome deve-o à escola de Música onde nasceu, em Janeiro de 2007 e tem vindo a desenvolver actividade.
Desde o seu início que contou com a orientação de Fátima Serro e desde Setembro de 2011 que o coro é orientado por Manuel Linhares.
Compõem-no pessoas de idades diversas e também de origens profissionais variadas.
Interpreta um repertório muito variado que engloba arranjos de músicas populares portuguesas, standards de jazz, blues, clássicos do rock, entre outros"
v,753,Coro Azul,O ladrão do negro melro,https://vimeo.com/91914460,1280 x 720,Voz,"coro, tradicional",Não categorizado,Música infantil,Viseu,Viseu,Beira Alta,27 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,"O nome deve-o à escola de Música onde nasceu, em Janeiro de 2007 e tem vindo a desenvolver actividade.
Desde o seu início que contou com a orientação de Fátima Serro e desde Setembro de 2011 que o coro é orientado por Manuel Linhares.
Compõem-no pessoas de idades diversas e também de origens profissionais variadas.
Interpreta um repertório muito variado que engloba arranjos de músicas populares portuguesas, standards de jazz, blues, clássicos do rock, entre outros"
v,753,Coro Azul,Zuvi zeva novi,https://vimeo.com/71809069,1280 x 720,Voz,"coro, pop",Não categorizado,Música infantil,Viseu,Viseu,Beira Alta,27 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,," O nome deve-o à escola de Música onde nasceu, em Janeiro de 2007 e tem vindo a desenvolver actividade.
Desde o seu início que contou com a orientação de Fátima Serro e desde Setembro de 2011 que o coro é orientado por Manuel Linhares.
Compõem-no pessoas de idades diversas e também de origens profissionais variadas.
Interpreta um repertório muito variado que engloba arranjos de músicas populares portuguesas, standards de jazz, blues, clássicos do rock, entre outros"
v,754,Goreti Pereira,Que deus me perdoe de Amália Rodrigues,https://vimeo.com/72338694,1280 x 720,"Voz, guitarra portuguesa, guitarra acústica",fado,Não categorizado,Música sacro-profano,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,754,Goreti Pereira,Lisboa Antiga,https://vimeo.com/91927943,1280 x 720,Voz,fado,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,754,Goreti Pereira,Rosa Enjeitada,https://vimeo.com/91927721,1280 x 720,"Voz, guitarra portuguesa, guitarra acústica",fado,Não categorizado,Música narrativa,Viseu,Viseu,Beira Alta,22 de Julho de 2013,2013,Tiago Pereira,Manuel Bento,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,755,Maria Helena Ventura,Tirioni,https://vimeo.com/272458529,1920 x 1080,Voz,"cantadeira, mirandês",Não categorizado,Música narrativa,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinhos,,,,
v,755,Maria Helena Ventura,Passarinho que alto cantas,https://vimeo.com/272449315,1920 x 1080,Voz,"cantadeira, mirandês",Não categorizado,Música narrativa,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinhos,,,,
v,755,Maria Helena Ventura,Por baixo de la ponte,https://vimeo.com/72519683,1920 x 1080,Voz,"cantadeira, mirandês",Não categorizado,Música narrativa,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinhos,,,,
v,755,Maria Helena Ventura,Este Pandeiro que eu toco,https://vimeo.com/75814365,1280 x 720,"Voz, pandeiro","cantadeira, mirandês, tocadora",Não categorizado,Música narrativa,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,29 de Setembro de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinhos,"A forma como ela toca parece as mulheres a tocarem pandeireta na Galiza. 
Os Origem tradicional já tinham tocado uma versão desta música.",,,
v,755,Maria Helena Ventura,Redondo,https://vimeo.com/122616804,1280 x 720,"Voz, pandeiro","cantadeira, mirandês, tocadora, dança, tradicional",Dança,Dança,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,18 de Março de 2015,2015,Tiago Pereira,Telma Morna,Paulo Meirinhos,CM de Miranda do Douro,,Paulo Meirinhos,,,,
v,756,Grupo de Cantares de Crasto de Campia,Loureiro,https://vimeo.com/71922909,1280 x 720,Voz,"cantares, coro, tradicional",Não categorizado,Música narrativa,Vouzela,Viseu,Beira Alta,20 de Julho de 2013,2013,Tiago Pereira,Rosa Pomar,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,756,Grupo de Cantares de Crasto de Campia,Resineiro,https://vimeo.com/91943433,1280 x 720,Voz,"cantares, coro, tradicional",Não categorizado,Música narrativa,Vouzela,Viseu,Beira Alta,20 de Julho de 2013,2013,Tiago Pereira,Rosa Pomar,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,756,Grupo de Cantares de Crasto de Campia,Hino do Castro,https://vimeo.com/91906882,1280 x 720,Voz,"cantares, coro, tradicional",Não categorizado,Música secular/festiva/comunidade,Vouzela,Viseu,Beira Alta,20 de Julho de 2013,2013,Tiago Pereira,Rosa Pomar,Nuno Correia,"Sandra Oliveira, Jardins Efemeros",,Nuno Correia,,,,
v,757,Tiago Marques,Valquíria,https://vimeo.com/268628288,1920 x 1080,Acordeão,,Não categorizado,Música instrumental,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,15 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,,,,,
v,757,Tiago Marques,Juventude de Sobral de São Miguel,https://vimeo.com/268637767,1920 x 1080,Acordeão,,Não categorizado,Música instrumental,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,15 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,,,,,
v,757,Tiago Marques,Frio e amargura,https://vimeo.com/72592516,1920 x 1080,Acordeão,,Não categorizado,Música instrumental,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,15 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,,,,,
v,758,Amélia Marcos,Findou-se Maio,https://vimeo.com/268437336,1920 x 1080,Voz,"Religioso, cântico, cantadeira, alma",Não categorizado,Música sacro-profana,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinos,,,,
v,758,Amélia Marcos,Esposo divino,https://vimeo.com/272455617,1920 x 1080,Voz,"Religioso, cântico, cantadeira, alma",Não categorizado,Música sacro-profana,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinos,,,,
v,758,Amélia Marcos,À porta das almas santas,https://vimeo.com/72603108,1920 x 1080,Voz,"Religioso, cântico, páscoa, cantadeira, alma",Não categorizado,Música sacro-profana,Miranda do Douro,Bragança,Trás-os-Montes e Alto Douro,16 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,,,Paulo Meirinos,,,,
v,759,String Fling,Spring Fling,https://vimeo.com/72716474,1280 x 720,Guitarra acústica,Folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,18 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,Associação Pedexumbo,,,,,,"Na improvável, mas cúmplice, junção de duas guitarras e um ocasional uquelele, surge este  caso (sério) de cordas , composto por Pedro Prata e David Rodrigues.
Caracterizado por uma sonoridade muito própria e inovadora - note-se o único repasseado só com guitarras de que há memória -, este duo transmite a sua paixão pela música de inspiração tradicional em cada acorde de cada xotiça, círculo circassiano, chapelloise ou mazurka que toca.
Um projecto que promete espalhar sorrisos, boa energia e alegria de dançar por onde quer que passe - não obstante o nome algo impronunciável: String Fling"
v,759,String Fling,Repasseado de Omiri,https://vimeo.com/72661294,1280 x 720,"Guitarra acústica, ukelele",Folk,Não categorizado,Música instrumental,Castelo de Vide,Portalegre,Alto Alentejo,18 de Agosto de 2013,2013,Tiago Pereira,Carla Pinto,,Associação Pedexumbo,,,,,,"Na improvável, mas cúmplice, junção de duas guitarras e um ocasional uquelele, surge este  caso (sério) de cordas , composto por Pedro Prata e David Rodrigues.
Caracterizado por uma sonoridade muito própria e inovadora - note-se o único repasseado só com guitarras de que há memória -, este duo transmite a sua paixão pela música de inspiração tradicional em cada acorde de cada xotiça, círculo circassiano, chapelloise ou mazurka que toca.
Um projecto que promete espalhar sorrisos, boa energia e alegria de dançar por onde quer que passe - não obstante o nome algo impronunciável: String Fling"
v,760,Inês Melo,Valsa Marinheira,https://vimeo.com/72732881,1280 x 720,Acordeão,,Não categorizado,Música instrumental,Castelo de Vide,Portalegre,Alto Alentejo,19 de Agosto de 2013,2013,Tiago Pereira,Sofia Matias,,Associação Pedexumbo,,,,,,
v,761,Zeps,Deambulações em dó,https://vimeo.com/72737670,1280 x 720,Guitarra acústica,,Não categorizado,Música instrumental,Castelo de Vide,Portalegre,Alto Alentejo,19 de Agosto de 2013,2013,Tiago Pereira,Sofia Matias,,Associação Pedexumbo,,,,,,
v,762,DPAGDP | Origem Tradicional,Malhão Belho,https://vimeo.com/1017549280,1280 x 720,"Guitarra acústica, bandolim, cajón","Folk, vira, dança",Dança,Dança,Castelo de Vide,Portalegre,Alto Alentejo,20 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,," A comemorar os 35 anos de militância pela música tradicional portuguesa, o Origem Tradicional é dos grupos, do género, mais antigos do País! Tem percorrido Portugal de lés a lés, França e Alemanha com os seus concertos e a alegria de todo o património secular que, segundo eles, importa preservar.

Conta com quatro trabalhos discográficos: os LP “Hei-de Subir ao Paço” (edição de autor, 1985), “Origem” (edição de autor, 1993),  Um sol maior  (Açor, 2007) e o EP  Ai bira que bira...  (Açor, 2011) – estando a ultimar o seu quarto álbum LP, cheio de amigos convidados da cena Folk/Trad a editar este ano de 2013. Sem desvirtuar o seu passado e as suas sonoridades, querem que o novo álbum marque um ponto de viragem, tornando o seu som mais contemporâneo, voltado para um futuro que está aí, onde querem ter um papel importante na mostra da riqueza das nossas tradições às novas gerações e aos povos de todo o mundo...

Inserido no Grupo Cultural de S. Mamede de Este (Braga), fundado a 14 de Fevereiro de 1978, o Origem Tradicional assume a sua paixão pela música tradicional, dedicando-se ao estudo e à divulgação do nosso património etnomusicológico, entre viras, malhões, chulas e demais ritmos do folclore português.

O Origem Tradicional tem sido presença assídua em Teatros, desde o Theatro Circo e o Teatro Vita, em Braga, ao Teatro da SOIR em Évora, em Romarias um pouco por todo o Norte do País e grandes Festivais de Música Folk e Tradicional como o mítico Andanças da Pé de Xumbo - S. Pedro do Sul, o Arredas Folk - Barcelos, o Castro Galaico - Braga, o MascarArte - Bragança, A Festa do Caldo de Quintandona - Penafiel, o Festival de Música Tradicional de Braga, Die Lange Nacht der Music - Munique, entre outros...

 Num país onde a música tradicional é pouco reconhecida e valorizada, com uma projecção mediática praticamente nula, é de felicitar a constância de tantos anos de trabalho musical do Origem Tradicional, que foi compilando um vasto reportório de recolhas e de temas originais, que assim vão reinventando a tradição..  - Sara Vidal in Sons Vadios.  facebook.com/#!/Origemtradicional",,,
v,762,Origem Tradicional,Vira Velho,https://vimeo.com/72807348,1280 x 720,"Guitarra acústica, bandolim, cajón","Folk, vira, dança",Dança,Dança,Castelo de Vide,Portalegre,Alto Alentejo,20 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,762,Origem Tradicional,Este Pandeiro,https://vimeo.com/73162553,1280 x 720,"Voz, adufe, bateria, cajón, gaita-de-foles, guitarra acústica, bandolim",Folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,21 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,763,DPAGDP | Recanto,Diabo do Velho,https://vimeo.com/1017541222,1280 x 720,"Voz, guitarra acústica, sanfona",Folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,20 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,763,Recanto,Mondego,https://vimeo.com/72878964,1280 x 720,"Voz, guitarra acústica, sanfona",Folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,20 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,763,Recanto,Quando vejo uma velhinha,https://vimeo.com/113271825,1280 x 720,"Adufe, guitarra acústica, voz",Folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,8 de Agosto de 2014,2014,Tiago Pereira,Sofia Matias,,Associação Pedexumbo,,,,,,
v,764,Ricardo Coelho,Pur la terra,https://vimeo.com/72880345,1280 x 720,Gaita-de-foles,Tradicional,Não categorizado,Música instrumental,Castelo de Vide,Portalegre,Alto Alentejo,20 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,765,Mara,Viagem,https://vimeo.com/72886555,1280 x 720,"Voz, contrabaixo, saxofone",,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,21 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,766,"Bruno Leitão, Joaquim Dias e Maria Dias",Fado batido com a participação da professora de dança Elizabete Pinto,https://vimeo.com/72887607,1920 x 1080,"Acordeão, bombo","dança, tradicional, fado",Dança,Dança,Castelo de Vide,Portalegre,Alto Alentejo,21 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,766,"Bruno Leitão, Joaquim Dias, Maria Dias com a participação da professora de dança Elizabete Pinto",Sem título #25,https://vimeo.com/271330379,1920 x 1080,"Acordeão, bombo","dança, tradicional, fado",Dança,Dança,Castelo de Vide,Portalegre,Alto Alentejo,21 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
v,767,Aqui Há Baile,Penteei,https://vimeo.com/72966347,1280 x 720,"Voz, violoncelo, bandolim, acordeão",folk,Não categorizado,Música narrativa,Castelo de Vide,Portalegre,Alto Alentejo,21 de Agosto de 2013,2013,Tiago Pereira,Mariana Moreira,,Associação Pedexumbo,,,,,,
